partition,bvid,text,label
学习区,learn_2,笔记已经记好了救命#512,
生活区,life_4,生活感满满很温暖期末人破防#1559,
学习区,learn_4,太难了完全听不懂三连了#1944,
学习区,learn_1,笔记已经记好了救命#498,
学习区,learn_3,笔记已经记好了救命#1123,
生活区,life_5,看着很舒服期末人破防#2122,
生活区,life_4,看完没什么收获确实#1793,
学习区,learn_3,这个公式太痛苦弹幕护体#1015,
学习区,learn_2,笔记已经记好了救命#771,1
学习区,learn_1,讲解细节很到位确实#371,
学习区,learn_1,越学越焦虑同感#126,
学习区,learn_4,这个公式太痛苦确实#1826,
学习区,learn_3,备考压力好大想哭救命#1426,
生活区,life_1,评论区吵起来了期末人破防#446,0
生活区,life_3,生活感满满很温暖三连了#1186,
生活区,life_3,体验一般哈哈#1132,
生活区,life_1,快乐就是这么简单救命#207,
学习区,learn_4,作业好多真的累哈哈#1812,
生活区,life_3,体验一般确实#1118,
学习区,learn_2,这个公式太痛苦救命#615,
学习区,learn_5,复习效率太低了同感#2260,0
学习区,learn_2,这个知识点让我崩溃三连了#709,
学习区,learn_4,例题很经典收获很多打卡44#1790,
生活区,life_1,生活感满满很温暖救命#302,1
学习区,learn_3,终于把公式理解了弹幕护体#1234,
生活区,life_3,看完没什么收获打卡42#1206,
生活区,life_5,内容有趣支持姐妹们#2070,
生活区,life_5,真的很放松期末人破防#2372,
学习区,learn_4,终于把公式理解了三连了#1529,
生活区,life_2,内容太水了没用三连了#507,
学习区,learn_4,越学越焦虑弹幕护体#1931,
生活区,life_2,剪辑有点乱确实#724,
学习区,learn_3,太难了完全听不懂期末人破防#1438,0
学习区,learn_5,这个公式太痛苦确实#2234,
生活区,life_4,这个视频太治愈了救命#1776,1
生活区,life_5,快乐就是这么简单哈哈#2409,1
生活区,life_3,快乐就是这么简单期末人破防#1008,
学习区,learn_1,作业好多真的累弹幕护体#479,
学习区,learn_2,思路很清晰适合复习弹幕护体#821,1
学习区,learn_1,学会了感谢分享确实#473,
生活区,life_4,有点尴尬救命#1988,
生活区,life_4,快乐就是这么简单同感#1584,
生活区,life_3,快乐就是这么简单三连了#1249,
生活区,life_1,画面好看点赞期末人破防#168,
生活区,life_4,好喜欢这种日常同感#1709,
学习区,learn_4,越学越焦虑哈哈#1906,
生活区,life_1,这种分享很真实第25遍看#25,
学习区,learn_2,作业好多真的累打卡56#638,0
学习区,learn_1,这个公式太痛苦确实#76,0
学习区,learn_4,太难了完全听不懂确实#1995,
学习区,learn_1,看到题目就迷茫救命#118,
学习区,learn_1,讲得有点快跟不上确实#41,0
生活区,life_2,真的很放松姐妹们#519,
生活区,life_4,好喜欢这种日常确实#1977,
学习区,learn_1,例题很经典收获很多期末人破防#147,
学习区,learn_3,学不会有点烦弹幕护体#1246,
学习区,learn_4,看到题目就迷茫期末人破防#1677,
生活区,life_3,看完心情变好了三连了#1456,
学习区,learn_4,笔记已经记好了同感#1821,
生活区,life_2,画面好看点赞第42遍看#915,1
学习区,learn_3,这个方法太有用了收藏打卡38#1299,1
生活区,life_1,剪辑有点乱救命#343,
生活区,life_5,这种分享很真实期末人破防#2421,
生活区,life_3,快乐就是这么简单期末人破防#1103,
生活区,life_5,感觉不太真实同感#2111,0
学习区,learn_5,看到题目就迷茫期末人破防#2073,
学习区,learn_3,笔记已经记好了确实#1136,
生活区,life_3,画面好看点赞姐妹们#1450,1
学习区,learn_5,例题很经典收获很多打卡42#2079,
学习区,learn_5,这节课效率很高确实#2370,
生活区,life_2,感觉不太真实弹幕护体#545,
学习区,learn_1,终于把公式理解了同感#103,
生活区,life_2,看着很舒服弹幕护体#949,
生活区,life_5,好喜欢这种日常同感#2457,
学习区,learn_1,学不会有点烦第48遍看#48,
