partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,老师你真是什么都会啊,,老师你真是什么都会啊,1,0,5,0,0,1.0,1.0,0.0,1.0,0.2,-1,0.34237089255601294,0.34237089255601294,0.33225435797013814,0.3253747494738489,负面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,好的,,好的,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,1,0.3747411658577736,0.31713341727721944,0.308125416865007,0.3747411658577736,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,2024年6月3日莹莹打卡第一天,,2024年6月3日莹莹打卡第一天,1,0,9,0,0,1.0,1.0,0.0,1.0,0.1111111111111111,1,0.37937419583873727,0.24221837571915678,0.378407428442106,0.37937419583873727,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,C++的学这个有用不,,C的学这个有用不,2,0,5,0,0,2.0,2.0,0.0,2.0,0.4,0,0.379633456110552,0.3685765649074143,0.379633456110552,0.25178997898203365,中性,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,立马上岗的笑死我了,,立马上岗的笑死我了,1,0,4,0,0,1.0,1.0,0.0,1.0,0.25,1,0.3870653020926205,0.271149465616766,0.34178523229061336,0.3870653020926205,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,2023年8月05日开始学习，预计年底之前完成学习,,2023年8月05日开始学习，预计年底之前完成学习,2,0,14,0,0,2.0,2.0,0.0,2.0,0.14285714285714285,-1,0.3895434368655079,0.3895434368655079,0.2768470695291739,0.33360949360531816,负面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,103人牛逼,,103人牛逼,1,0,3,0,0,1.0,1.0,0.0,1.0,0.3333333333333333,0,0.3901827725670292,0.31323362664401805,0.3901827725670292,0.2965836007889527,中性,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,黑老师好,,黑老师好,1,0,3,0,0,1.0,1.0,0.0,1.0,0.3333333333333333,1,0.3947383659001948,0.22887652131760924,0.3763851127821959,0.3947383659001948,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,"本套课程,内容最移动,mysql黑马触碰,别忘了,",,"本套课程,内容最移动,mysql黑马触碰,别忘了,",0,0,14,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.3991575399095361,0.3991575399095361,0.3775415171346616,0.22330094295580227,负面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,1.5倍刚刚好,,1.5倍刚刚好,1,0,4,0,0,1.0,1.0,0.0,1.0,0.25,0,0.40189138221689436,0.2871114422190907,0.40189138221689436,0.31099717556401496,中性,正面
