partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,黑马程序员就这几个字yyds,,黑马程序员就这几个字yyds,2,0,6,0,0,2.0,2.0,0.0,2.0,0.3333333333333333,0,0.5000275240937695,0.0,0.5000275240937695,0.49997247590623056,中性,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,为了学SQL注入，特意来学SQL,,为了学SQL注入，特意来学SQL,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1,0.500191666212743,0.0,0.499808333787257,0.500191666212743,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,我长沙理工大学通信2304邓泽平实名学习,,我长沙理工大学通信2304邓泽平实名学习,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1,0.5016532577125915,0.0,0.4983467422874085,0.5016532577125915,正面,正面
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,7639932,458091,7604,125299,10730,1422,这个电磁炉太经典了,,这个电磁炉太经典了,2,0,4,0,0,2.8,2.8,0.0,2.8,0.5,0,0.5023583211347517,0.0,0.5023583211347517,0.49764167886524835,中性,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,2024学这个还能找到工作吗？,,2024学这个还能找到工作吗？,0,0,8,0,1,0.0,0.0,0.0,0.0,0.0,0,0.5052758911586126,0.0,0.5052758911586126,0.4947241088413874,中性,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,我还是比较喜欢禹神的课程,,我还是比较喜欢禹神的课程,2,0,5,0,0,2.2,2.2,0.0,2.2,0.4,1,0.5089733319125771,0.0,0.4910266680874229,0.5089733319125771,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,我听到了猴哥的声音，然后打开了弹幕,,我听到了猴哥的声音，然后打开了弹幕,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.5098177255816165,0.0,0.5098177255816165,0.4901822744183835,中性,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,有个问题，为什么黑马啥都会,,有个问题，为什么黑马啥都会,1,2,8,0,0,-1.0,1.0,2.0,1.0,0.375,0,0.5159697805689651,0.0,0.5159697805689651,0.4840302194310348,中性,负面
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,7639932,458091,7604,125299,10730,1422,最后的巴掌特别丝滑,,最后的巴掌特别丝滑,2,0,4,0,0,2.8,2.8,0.0,2.8,0.5,1,0.5172834832926085,0.0,0.48271651670739146,0.5172834832926085,正面,正面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,数据库中的语句就是以中要需缴纳亏啊你的,,数据库中的语句就是以中要需缴纳亏啊你的,0,1,8,0,0,-1.0,0.0,1.0,1.0,0.125,0,0.5181101373333399,0.0,0.5181101373333399,0.4818898626666601,中性,负面
