partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label,manual_label,manual_override
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,这声音六六六,,这声音六六六,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.35446122522634743,0.35446122522634743,0.34342112106813427,0.3021176537055183,负面,正面,1.0,True
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,学完我就去送外卖，月薪要是不到2万就回来扁你,,学完我就去送外卖，月薪要是不到2万就回来扁你,0,0,14,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.3610002689191449,0.3610002689191449,0.35276166256639774,0.2862380685144574,负面,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,老师讲的听不懂，还是b站大学牛壁,,老师讲的听不懂，还是b站大学牛壁,0,2,9,0,0,-2.0,0.0,2.0,2.0,0.2222222222222222,1,0.3676352620592477,0.3657068315571506,0.26665790638360176,0.3676352620592477,正面,正面,1.0,True
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,数据库的重要性都是要对数据库熟悉的,,数据库的重要性都是要对数据库熟悉的,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,-1,0.3688742142540769,0.3688742142540769,0.336337981425547,0.2947878043203761,负面,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,第一遍学习可以看完基础篇先学后面的，等到学完框架再回来看进阶吗,,第一遍学习可以看完基础篇先学后面的，等到学完框架再回来看进阶吗,2,0,17,0,0,2.0,2.0,0.0,2.0,0.11764705882352941,0,0.37099104147134465,0.34839647007994345,0.37099104147134465,0.2806124884487119,中性,中性,0.0,True
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,胡玉清韩永强别卷了我遭不住了,,胡玉清韩永强别卷了我遭不住了,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.3716548647762386,0.2609373058264607,0.3716548647762386,0.36740782939730066,中性,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,与教python不是一个人,,与教python不是一个人,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.3721737099464743,0.3445916464105078,0.3721737099464743,0.2832346436430179,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,学完这个课能拿捏学校的数据库原理与运用不,,学完这个课能拿捏学校的数据库原理与运用不,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.377973414305987,0.3747412774152391,0.377973414305987,0.24728530827877393,中性,负面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,立马上岗的笑死我了,,立马上岗的笑死我了,1,0,4,0,0,1.0,1.0,0.0,1.0,0.25,1,0.3799923414295694,0.30945147802482387,0.31055618054560674,0.3799923414295694,正面,正面,,False
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757390,182503,155358,467984,15953,230164,一杯咖啡，一条烟，一个视频看一天（1）,,一杯咖啡，一条烟，一个视频看一天1,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.386405420718031,0.3071722505389092,0.386405420718031,0.3064223287430598,中性,负面,,False
